ORIGINAL_CATEGORY,SIMPLIFIED_CATEGORY
divorce_and_family_law,Professional Services
welding_supply_store,Retail & Shopping
b2b_food_products,Food & Dining
hydraulic_repair_service,Automotive
building_supply_store,Retail & Shopping
information_technology_company,Other
elder_care_planning,Healthcare & Medical
printing_equipment_and_supply,Automotive
go_kart_track,Entertainment & Recreation
civic_center,Community & Social Services
attraction_farm,Other
emergency_medicine,Healthcare & Medical
cardiologist,Healthcare & Medical
trailer_dealer,Automotive
zoo,Entertainment & Recreation
furniture_rental_service,Automotive
rugby_pitch,Other
shoe_shining_service,Automotive
jail_and_prison,Government & Public Services
marketing_agency,Retail & Shopping
office_equipment,Government & Public Services
packing_services,Professional Services
b2b_equipment_maintenance_and_repair,Automotive
ticket_sales,Industrial & Manufacturing
bus_rentals,Automotive
seafood_restaurant,Food & Dining
iv_hydration,Healthcare & Medical
racing_experience,Entertainment & Recreation
fish_restaurant,Food & Dining
contractor,Professional Services
land_surveying,Professional Services
kitchen_remodeling,Home & Garden
animal_hospital,Healthcare & Medical
afghan_restaurant,Food & Dining
studio_taping,Accommodation
garbage_collection_service,Professional Services
coworking_space,Beauty & Personal Care
makerspace,Beauty & Personal Care
barbecue_restaurant,Food & Dining
pasta_shop,Retail & Shopping
automotive_parts_and_accessories,Retail & Shopping
air_duct_cleaning_service,Professional Services
wheel_and_rim_repair,Automotive
scooter_tours,Entertainment & Recreation
nursery_and_gardening,Home & Garden
auto_customization,Automotive
child_care_and_day_care,Automotive
rental_service,Automotive
honduran_restaurant,Food & Dining
personal_chef,Other
kosher_grocery_store,Retail & Shopping
b2b_storage_and_warehouses,Retail & Shopping
ear_nose_and_throat,Other
midwife,Healthcare & Medical
shoe_factory,Industrial & Manufacturing
water_purification_services,Automotive
cosmetic_dentist,Healthcare & Medical
b2b_apparel,Other
virtual_reality_center,Community & Social Services
plus_size_clothing,Retail & Shopping
forestry_consultants,Natural Features & Outdoor
physical_therapy,Healthcare & Medical
florist,Retail & Shopping
cpr_classes,Education & Learning
car_stereo_store,Retail & Shopping
lawn_mower_store,Retail & Shopping
scientific_laboratories,Other
teeth_whitening,Beauty & Personal Care
malaysian_restaurant,Food & Dining
beauty_salon,Beauty & Personal Care
pet_store,Retail & Shopping
marina,Entertainment & Recreation
history_museum,Entertainment & Recreation
industrial_cleaning_services,Professional Services
pumpkin_patch,Other
trail,Transportation
coffee_and_tea_supplies,Food & Dining
religious_organization,Religious & Spiritual
door_sales_service,Automotive
pediatric_surgery,Healthcare & Medical
deck_and_railing_sales_service,Automotive
social_security_services,Professional Services
csa_farm,Other
key_and_locksmith,Automotive
beach_resort,Entertainment & Recreation
free_diving_center,Entertainment & Recreation
painting,Professional Services
railroad_freight,Professional Services
baseball_stadium,Entertainment & Recreation
european_restaurant,Food & Dining
apartment_agent,Accommodation
wine_tasting_classes,Education & Learning
vermouth_bar,Food & Dining
pig_farm,Other
coffee_shop,Food & Dining
bartender,Food & Dining
auto_glass_service,Automotive
rug_store,Retail & Shopping
sandwich_shop,Food & Dining
plumbing,Professional Services
frozen_foods,Food & Dining
argentine_restaurant,Food & Dining
tire_repair_shop,Retail & Shopping
traffic_ticketing_law,Professional Services
credit_union,Professional Services
poke_restaurant,Food & Dining
barre_classes,Food & Dining
plastic_company,Other
cannabis_collective,Community & Social Services
disc_golf_course,Entertainment & Recreation
retail,Retail & Shopping
chemical_plant,Home & Garden
carpet_cleaning,Professional Services
cajun_and_creole_restaurant,Food & Dining
road_structures_and_services,Automotive
urban_farm,Other
sport_equipment_rentals,Entertainment & Recreation
paintball,Other
food_stand,Food & Dining
telecommunications,Other
oil_and_gas_exploration_and_development,Industrial & Manufacturing
canal,Other
canyon,Natural Features & Outdoor
apartments,Accommodation
community_center,Community & Social Services
asian_grocery_store,Retail & Shopping
online_shop,Retail & Shopping
talent_agency,Government & Public Services
duty_free_shop,Retail & Shopping
texmex_restaurant,Food & Dining
diner,Food & Dining
farming_services,Automotive
travel_company,Other
mystic,Other
performing_arts,Other
book_magazine_distribution,Professional Services
diy_foods_restaurant,Food & Dining
roofing,Professional Services
firewood,Government & Public Services
vascular_medicine,Healthcare & Medical
professional_sports_league,Entertainment & Recreation
golf_instructor,Entertainment & Recreation
jazz_and_blues,Other
corporate_gift_supplier,Industrial & Manufacturing
political_party_office,Government & Public Services
food_consultant,Food & Dining
fastener_supplier,Industrial & Manufacturing
forklift_dealer,Automotive
antenna_service,Automotive
forest,Natural Features & Outdoor
tattoo_removal,Beauty & Personal Care
lake,Natural Features & Outdoor
police_department,Government & Public Services
b2b_textiles,Other
circus,Entertainment & Recreation
food_and_beverage_exporter,Food & Dining
closet_remodeling,Home & Garden
sports_museum,Entertainment & Recreation
aquarium,Entertainment & Recreation
party_equipment_rental,Entertainment & Recreation
agricultural_production,Religious & Spiritual
gastropub,Food & Dining
kickboxing_club,Entertainment & Recreation
construction_services,Professional Services
metals,Other
barber,Food & Dining
printing_services,Automotive
car_inspection,Automotive
music_festivals_and_organizations,Entertainment & Recreation
media_restoration_service,Automotive
womens_clothing_store,Retail & Shopping
b2b_furniture_and_housewares,Home & Garden
school_sports_team,Food & Dining
hotel_supply_service,Automotive
rest_areas,Other
laser_cutting_service_provider,Automotive
tutoring_center,Education & Learning
paint_store,Retail & Shopping
car_buyer,Automotive
art_school,Education & Learning
occupational_medicine,Healthcare & Medical
elevator_service,Automotive
orthodontist,Healthcare & Medical
translation_services,Professional Services
framing_store,Retail & Shopping
installment_loans,Professional Services
topic_concert_venue,Entertainment & Recreation
cidery,Food & Dining
swimwear_store,Retail & Shopping
b2b_rubber_and_plastics,Other
business_banking_service,Professional Services
family_counselor,Other
window_treatment_store,Retail & Shopping
puerto_rican_restaurant,Food & Dining
b2b_truck_equipment_parts_and_accessories,Automotive
armenian_restaurant,Food & Dining
sake_bar,Food & Dining
boat_service_and_repair,Automotive
waterfall,Natural Features & Outdoor
topic_publisher,Food & Dining
alternative_medicine,Healthcare & Medical
business_equipment_and_supply,Professional Services
bearing_supplier,Industrial & Manufacturing
catholic_church,Religious & Spiritual
food_beverage_service_distribution,Food & Dining
otologist,Healthcare & Medical
pedicab_service,Automotive
personal_care_service,Automotive
paint_your_own_pottery,Other
breakfast_and_brunch_restaurant,Food & Dining
motorcycle_rentals,Automotive
home_organization,Home & Garden
trade_fair,Entertainment & Recreation
real_estate_photography,Professional Services
exhibition_and_trade_center,Entertainment & Recreation
car_dealer,Automotive
bank_credit_union,Professional Services
gift_shop,Retail & Shopping
safety_equipment,Government & Public Services
writing_service,Automotive
aerial_fitness_center,Entertainment & Recreation
architect,Professional Services
garage_door_service,Automotive
boat_rental_and_training,Entertainment & Recreation
demolition_service,Professional Services
sky_diving,Entertainment & Recreation
musical_band_orchestras_and_symphonies,Entertainment & Recreation
national_security_services,Professional Services
discount_store,Retail & Shopping
beer_bar,Food & Dining
prosthodontist,Healthcare & Medical
aromatherapy,Healthcare & Medical
indo_chinese_restaurant,Food & Dining
truck_rentals,Automotive
vending_machine_supplier,Industrial & Manufacturing
security_services,Professional Services
photography_store_and_services,Retail & Shopping
paddleboarding_center,Community & Social Services
utility_service,Automotive
rehabilitation_center,Healthcare & Medical
home_improvement_store,Retail & Shopping
coal_and_coke,Industrial & Manufacturing
dance_club,Entertainment & Recreation
laundromat,Other
health_market,Healthcare & Medical
donation_center,Community & Social Services
lactation_services,Healthcare & Medical
engineering_services,Professional Services
pediatric_orthopedic_surgery,Healthcare & Medical
mattress_store,Retail & Shopping
reiki,Healthcare & Medical
egyptian_restaurant,Food & Dining
lawyer,Professional Services
belgian_restaurant,Food & Dining
jehovahs_witness_kingdom_hall,Religious & Spiritual
energy_equipment_and_solution,Other
currency_exchange,Community & Social Services
whale_watching_tours,Entertainment & Recreation
health_and_medical,Healthcare & Medical
charity_organization,Community & Social Services
irish_pub,Food & Dining
shared_office_space,Beauty & Personal Care
country_club,Entertainment & Recreation
iron_work,Other
bed_and_breakfast,Other
airport_shuttles,Transportation
backpacking_area,Professional Services
supermarket,Retail & Shopping
importers,Transportation
music_critic,Entertainment & Recreation
reptile_shop,Retail & Shopping
mattress_manufacturing,Industrial & Manufacturing
feng_shui,Natural Features & Outdoor
pediatric_pulmonology,Healthcare & Medical
carpenter,Automotive
gluten_free_restaurant,Food & Dining
spiritual_shop,Retail & Shopping
architecture_schools,Professional Services
pawn_shop,Retail & Shopping
power_plants_and_power_plant_service,Automotive
anesthesiologist,Healthcare & Medical
vietnamese_restaurant,Food & Dining
hair_extensions,Beauty & Personal Care
urologist,Healthcare & Medical
boudoir_photography,Other
granite_supplier,Industrial & Manufacturing
machine_shop,Retail & Shopping
opera_and_ballet,Other
japanese_confectionery_shop,Retail & Shopping
religious_items,Government & Public Services
cheese_shop,Retail & Shopping
cigar_bar,Food & Dining
motorcycle_dealer,Automotive
pulmonologist,Healthcare & Medical
cuban_restaurant,Food & Dining
local_and_state_government_offices,Government & Public Services
mosque,Religious & Spiritual
health_coach,Healthcare & Medical
holiday_decor,Other
endodontist,Healthcare & Medical
home_developer,Home & Garden
game_publisher,Food & Dining
sri_lankan_restaurant,Food & Dining
bulk_billing,Professional Services
hot_springs,Natural Features & Outdoor
beach,Entertainment & Recreation
medical_center,Healthcare & Medical
foster_care_services,Automotive
cement_supplier,Industrial & Manufacturing
water_store,Retail & Shopping
beach_bar,Food & Dining
sports_and_recreation_venue,Entertainment & Recreation
recreation_vehicle_repair,Entertainment & Recreation
internet_marketing_service,Retail & Shopping
chicken_restaurant,Food & Dining
sign_making,Transportation
non_governmental_association,Government & Public Services
mobile_home_dealer,Automotive
general_festivals,Entertainment & Recreation
scrap_metals,Other
mountain_bike_trails,Transportation
halotherapy,Healthcare & Medical
car_wash,Automotive
canoe_and_kayak_hire_service,Automotive
architectural_designer,Professional Services
pediatric_dentist,Healthcare & Medical
organization,Community & Social Services
laundry_services,Automotive
sports_bar,Food & Dining
brake_service_and_repair,Automotive
lumber_store,Retail & Shopping
outdoor_furniture_store,Retail & Shopping
audio_visual_production_and_design,Automotive
yoga_instructor,Entertainment & Recreation
south_african_restaurant,Food & Dining
business_manufacturing_and_supply,Professional Services
luggage_storage,Professional Services
heliports,Transportation
horse_racing_track,Entertainment & Recreation
party_character,Other
vitamins_and_supplements,Other
fitness_trainer,Entertainment & Recreation
womens_health_clinic,Healthcare & Medical
paralegal_services,Professional Services
team_building_activity,Food & Dining
fish_farms_and_hatcheries,Other
wholesale_store,Retail & Shopping
resort,Accommodation
night_market,Retail & Shopping
nicaraguan_restaurant,Food & Dining
environmental_renewable_natural_resource,Home & Garden
street_vendor,Home & Garden
escape_rooms,Natural Features & Outdoor
archery_range,Other
cave,Natural Features & Outdoor
public_bath_houses,Food & Dining
beauty_and_spa,Beauty & Personal Care
fertilizer_store,Retail & Shopping
karate_club,Entertainment & Recreation
african_restaurant,Food & Dining
community_health_center,Healthcare & Medical
ceremonial_clothing,Transportation
optometrist,Healthcare & Medical
excavation_service,Professional Services
parenting_classes,Education & Learning
general_litigation,Other
pediatric_neurology,Healthcare & Medical
pediatric_radiology,Healthcare & Medical
ferry_service,Automotive
livestock_breeder,Other
automation_services,Automotive
henna_artist,Other
bistro,Food & Dining
tanning_bed,Beauty & Personal Care
foot_care,Automotive
sailing_club,Entertainment & Recreation
fitness_exercise_equipment,Entertainment & Recreation
automotive_wheel_polishing_service,Automotive
hawaiian_restaurant,Food & Dining
exhaust_and_muffler_repair,Automotive
logging_equipment_and_supplies,Other
tiling,Professional Services
road_contractor,Professional Services
civil_rights_lawyers,Professional Services
orchard,Other
beer_tours,Entertainment & Recreation
spine_surgeon,Healthcare & Medical
fishing_charter,Entertainment & Recreation
fish_and_chips_restaurant,Food & Dining
fashion_accessories_store,Retail & Shopping
freight_and_cargo_service,Professional Services
meat_wholesaler,Retail & Shopping
car_broker,Automotive
proctologist,Other
logging_contractor,Professional Services
pool_hall,Entertainment & Recreation
windows_installation,Professional Services
gutter_service,Automotive
vacation_rental_agents,Automotive
ice_supplier,Industrial & Manufacturing
ride_sharing,Automotive
restaurant,Food & Dining
hair_salon,Beauty & Personal Care
horseback_riding_service,Automotive
gymnastics_club,Entertainment & Recreation
surf_shop,Retail & Shopping
fidelity_and_surety_bonds,Other
crops_production,Industrial & Manufacturing
homeless_shelter,Home & Garden
art_supply_store,Retail & Shopping
israeli_restaurant,Food & Dining
architectural_tours,Professional Services
army_and_navy_store,Retail & Shopping
dim_sum_restaurant,Food & Dining
gastroenterologist,Healthcare & Medical
water_park,Entertainment & Recreation
hockey_arena,Entertainment & Recreation
genealogists,Other
b2b_hardware,Other
emergency_roadside_service,Automotive
payroll_services,Professional Services
cultural_center,Religious & Spiritual
motel,Accommodation
professional_sports_team,Food & Dining
hepatologist,Other
ayurveda,Healthcare & Medical
industrial_spares_and_products_wholesaler,Retail & Shopping
car_window_tinting,Automotive
academic_bookstore,Retail & Shopping
flower_markets,Retail & Shopping
middle_school,Education & Learning
choir,Other
customs_broker,Government & Public Services
plaza,Other
well_drilling,Industrial & Manufacturing
business_financing,Professional Services
supernatural_reading,Natural Features & Outdoor
carpet_store,Retail & Shopping
solar_installation,Industrial & Manufacturing
shaved_ice_shop,Retail & Shopping
polynesian_restaurant,Food & Dining
scale_supplier,Industrial & Manufacturing
doula,Healthcare & Medical
scuba_diving_center,Entertainment & Recreation
department_of_motor_vehicles,Automotive
restaurant_equipment_and_supply,Food & Dining
glass_and_mirror_sales_service,Automotive
lighthouse,Home & Garden
volleyball_court,Entertainment & Recreation
data_recovery,Natural Features & Outdoor
freight_forwarding_agency,Professional Services
workers_compensation_law,Professional Services
inventory_control_service,Automotive
animal_shelter,Accommodation
eyewear_and_optician,Retail & Shopping
ev_charging_station,Transportation
boat_parts_and_supply_store,Retail & Shopping
footwear_wholesaler,Retail & Shopping
radiologist,Healthcare & Medical
pet_adoption,Other
contemporary_art_museum,Entertainment & Recreation
real_estate_agent,Professional Services
adult_entertainment,Entertainment & Recreation
audio_visual_equipment_store,Retail & Shopping
public_utility_company,Food & Dining
pediatric_gastroenterology,Healthcare & Medical
translating_and_interpreting_services,Automotive
tire_dealer_and_repair,Automotive
pipe_supplier,Industrial & Manufacturing
syrian_restaurant,Food & Dining
family_practice,Healthcare & Medical
towing_service,Automotive
outlet_store,Retail & Shopping
debt_relief_services,Professional Services
wine_tasting_room,Other
czech_restaurant,Food & Dining
jewelry_repair_service,Automotive
tennis_stadium,Entertainment & Recreation
farmers_market,Retail & Shopping
private_jet_charters,Transportation
eat_and_drink,Other
auction_house,Home & Garden
fertility,Healthcare & Medical
mobility_equipment_services,Automotive
b2b_medical_support_services,Healthcare & Medical
active_life,Other
float_spa,Healthcare & Medical
art_gallery,Entertainment & Recreation
accountant,Professional Services
water_supplier,Industrial & Manufacturing
ranch,Accommodation
aircraft_manufacturer,Automotive
drive_thru_bar,Food & Dining
school_sports_league,Entertainment & Recreation
distillery,Food & Dining
table_tennis_club,Entertainment & Recreation
misting_system_services,Automotive
school,Education & Learning
cafe,Food & Dining
bus_station,Transportation
oncologist,Healthcare & Medical
observatory,Education & Learning
adult_education,Entertainment & Recreation
festival,Entertainment & Recreation
entertainment_law,Professional Services
financial_advising,Professional Services
car_rental_agency,Automotive
hearing_aids,Government & Public Services
physician_assistant,Healthcare & Medical
public_health_clinic,Food & Dining
inspection_services,Automotive
nudist_clubs,Entertainment & Recreation
lighting_fixture_manufacturers,Industrial & Manufacturing
geneticist,Other
custom_t_shirt_store,Retail & Shopping
scooter_rental,Automotive
basque_restaurant,Food & Dining
eyebrow_service,Automotive
film_festivals_and_organizations,Entertainment & Recreation
bags_luggage_company,Other
photographer,Other
flight_school,Education & Learning
truck_dealer,Automotive
fountain,Other
hair_supply_stores,Retail & Shopping
retina_specialist,Other
glass_manufacturer,Automotive
cricket_ground,Other
challenge_courses_center,Education & Learning
denim_wear_store,Retail & Shopping
bike_repair_maintenance,Automotive
uniform_store,Retail & Shopping
medical_supply,Healthcare & Medical
musical_instrument_store,Retail & Shopping
southern_restaurant,Food & Dining
mountain,Natural Features & Outdoor
oil_and_gas_field_equipment_and_services,Automotive
amateur_sports_league,Entertainment & Recreation
junk_removal_and_hauling,Professional Services
dui_law,Professional Services
kiteboarding,Community & Social Services
internal_medicine,Healthcare & Medical
credit_and_debt_counseling,Healthcare & Medical
psychologist,Healthcare & Medical
mobile_home_repair,Automotive
computer_museum,Entertainment & Recreation
trucks_and_industrial_vehicles,Automotive
package_locker,Transportation
hair_removal,Beauty & Personal Care
planetarium,Education & Learning
surfboard_rental,Automotive
pop_up_restaurant,Food & Dining
public_and_government_association,Food & Dining
amusement_park,Entertainment & Recreation
cottage,Accommodation
publicity_service,Food & Dining
agriculture,Religious & Spiritual
automotive_services_and_repair,Automotive
bike_sharing,Automotive
gun_and_ammo,Other
soul_food,Food & Dining
aluminum_supplier,Industrial & Manufacturing
speech_training,Education & Learning
traditional_clothing,Transportation
restaurant_wholesale,Food & Dining
food_tours,Food & Dining
traditional_chinese_medicine,Healthcare & Medical
uruguayan_restaurant,Food & Dining
kiteboarding_instruction,Community & Social Services
truck_repair,Automotive
sewing_and_alterations,Other
ceiling_service,Professional Services
dive_shop,Retail & Shopping
clock_repair_service,Automotive
farm_insurance,Professional Services
orchards_production,Industrial & Manufacturing
nursing_school,Education & Learning
public_restrooms,Food & Dining
live_and_raw_food_restaurant,Food & Dining
music_and_dvd_store,Retail & Shopping
nature_reserve,Automotive
skin_care,Automotive
stone_and_masonry,Home & Garden
halfway_house,Home & Garden
sandblasting_service,Automotive
b2b_autos_and_vehicles,Automotive
scottish_restaurant,Food & Dining
arts_and_crafts,Other
arts_and_entertainment,Entertainment & Recreation
cleaning_products_supplier,Professional Services
low_income_housing,Accommodation
cabinet_sales_service,Automotive
luggage_store,Retail & Shopping
national_park,Entertainment & Recreation
hair_loss_center,Beauty & Personal Care
stone_supplier,Industrial & Manufacturing
health_retreats,Healthcare & Medical
atms,Other
commercial_real_estate,Professional Services
real_estate_investment,Professional Services
cleaning_services,Professional Services
awning_supplier,Industrial & Manufacturing
mexican_grocery_store,Retail & Shopping
crisis_intervention_services,Automotive
airport_lounge,Food & Dining
embroidery_and_crochet,Other
fire_and_water_damage_restoration,Automotive
auto_security,Professional Services
filipino_restaurant,Food & Dining
betting_center,Entertainment & Recreation
tennis_court,Entertainment & Recreation
beverage_supplier,Industrial & Manufacturing
batting_cage,Other
government_services,Automotive
business_consulting,Professional Services
saw_mill,Industrial & Manufacturing
fraternal_organization,Community & Social Services
valet_service,Automotive
esthetician,Other
taco_restaurant,Food & Dining
insurance_agency,Professional Services
gym,Entertainment & Recreation
media_news_company,Other
occupational_therapy,Healthcare & Medical
motorcycle_gear,Retail & Shopping
olive_oil,Other
optical_wholesaler,Retail & Shopping
dietitian,Other
videographer,Other
speech_therapist,Healthcare & Medical
skate_shop,Retail & Shopping
molecular_gastronomy_restaurant,Food & Dining
web_designer,Transportation
advertising_agency,Professional Services
toy_store,Retail & Shopping
quay,Other
veterinarian,Healthcare & Medical
lebanese_restaurant,Food & Dining
pressure_washing,Automotive
juvenile_detention_center,Government & Public Services
plasterer,Other
canadian_restaurant,Food & Dining
balloon_ports,Transportation
wholesale_grocer,Retail & Shopping
sleep_specialist,Other
bookmakers,Other
tobacco_shop,Retail & Shopping
salvadoran_restaurant,Food & Dining
grain_elevators,Other
volunteer_association,Community & Social Services
employment_agencies,Other
allergist,Healthcare & Medical
counseling_and_mental_health,Healthcare & Medical
day_spa,Beauty & Personal Care
beauty_product_supplier,Beauty & Personal Care
train_station,Transportation
business_to_business,Professional Services
psychic,Other
fishmonger,Other
b2b_science_and_technology,Other
vegan_restaurant,Food & Dining
artificial_turf,Other
community_museum,Entertainment & Recreation
commissioned_artist,Religious & Spiritual
jet_skis_rental,Automotive
personal_shopper,Retail & Shopping
climbing_class,Entertainment & Recreation
liquor_store,Retail & Shopping
bookkeeper,Other
diy_auto_shop,Retail & Shopping
houseboat,Automotive
stadium_arena,Entertainment & Recreation
boat_builder,Automotive
countertop_installation,Industrial & Manufacturing
jewelry_store,Retail & Shopping
wedding_planning,Religious & Spiritual
musician,Entertainment & Recreation
immigration_assistance_services,Automotive
shoe_store,Retail & Shopping
graphic_designer,Transportation
international_grocery_store,Retail & Shopping
educational_camp,Education & Learning
forestry_service,Automotive
kosher_restaurant,Food & Dining
trinidadian_restaurant,Food & Dining
pretzels,Other
party_bus_rental,Automotive
abrasives_supplier,Industrial & Manufacturing
chiropractor,Healthcare & Medical
homeowner_association,Home & Garden
hot_dog_restaurant,Food & Dining
bocce_ball_court,Government & Public Services
paving_contractor,Professional Services
gold_buyer,Other
appliance_manufacturer,Industrial & Manufacturing
jamaican_restaurant,Food & Dining
blow_dry_blow_out_service,Automotive
manufacturers_agents_and_representatives,Industrial & Manufacturing
inn,Accommodation
motor_freight_trucking,Professional Services
b2b_farms,Other
donuts,Food & Dining
piano_store,Retail & Shopping
video_film_production,Industrial & Manufacturing
football_club,Entertainment & Recreation
hobby_shop,Retail & Shopping
poultry_farm,Other
car_stereo_installation,Retail & Shopping
town_hall,Government & Public Services
energy_company,Other
promotional_products_and_services,Automotive
street_art,Home & Garden
mobile_home_park,Entertainment & Recreation
tattoo_and_piercing,Beauty & Personal Care
historical_tours,Entertainment & Recreation
sikh_temple,Religious & Spiritual
wine_tours,Entertainment & Recreation
recording_and_rehearsal_studio,Accommodation
kitchen_and_bath,Home & Garden
criminal_defense_law,Professional Services
piercing,Beauty & Personal Care
stock_and_bond_brokers,Industrial & Manufacturing
endocrinologist,Healthcare & Medical
natural_gas_supplier,Natural Features & Outdoor
herbal_shop,Retail & Shopping
human_resource_services,Professional Services
dental_supply_store,Healthcare & Medical
farm_equipment_repair_service,Automotive
pie_shop,Retail & Shopping
display_home_center,Home & Garden
auto_detailing,Automotive
pathologist,Healthcare & Medical
rodeo,Entertainment & Recreation
frozen_yoghurt_shop,Food & Dining
used_vintage_and_consignment,Automotive
pediatrician,Healthcare & Medical
quarries,Other
hearing_aid_provider,Government & Public Services
car_auction,Automotive
design_museum,Entertainment & Recreation
animal_rescue_service,Automotive
pilates_studio,Entertainment & Recreation
health_department,Healthcare & Medical
newspaper_and_magazines_store,Retail & Shopping
mexican_restaurant,Food & Dining
venue_and_event_space,Beauty & Personal Care
skylight_installation,Industrial & Manufacturing
bridal_shop,Retail & Shopping
golf_club,Entertainment & Recreation
tower_communication_service,Automotive
gents_tailor,Other
corporate_office,Government & Public Services
armed_forces_branch,Accommodation
rv_storage_facility,Professional Services
railway_service,Automotive
poutinerie_restaurant,Food & Dining
asian_restaurant,Food & Dining
honey_farm_shop,Retail & Shopping
smokehouse,Home & Garden
boat_dealer,Automotive
mobile_phone_store,Retail & Shopping
oral_surgeon,Healthcare & Medical
atv_recreation_park,Entertainment & Recreation
b2b_dairies,Other
massage,Beauty & Personal Care
health_food_restaurant,Food & Dining
masonry_contractors,Professional Services
paddleboard_rental,Automotive
lawn_service,Professional Services
archaeological_services,Automotive
leather_products_manufacturer,Industrial & Manufacturing
it_service_and_computer_repair,Automotive
boutique,Retail & Shopping
rheumatologist,Healthcare & Medical
industrial_company,Government & Public Services
golf_equipment,Retail & Shopping
firework_retailer,Retail & Shopping
tea_wholesaler,Food & Dining
surgeon,Healthcare & Medical
courier_and_delivery_services,Professional Services
business_law,Professional Services
palace,Other
tableware_supplier,Industrial & Manufacturing
business_advertising,Professional Services
bowling_alley,Entertainment & Recreation
guitar_store,Retail & Shopping
ultrasound_imaging_center,Healthcare & Medical
truck_dealer_for_businesses,Professional Services
specialty_grocery_store,Retail & Shopping
sports_school,Entertainment & Recreation
mills,Industrial & Manufacturing
pakistani_restaurant,Food & Dining
wine_bar,Food & Dining
theme_restaurant,Food & Dining
educational_research_institute,Education & Learning
cemeteries,Other
polish_restaurant,Food & Dining
dairy_farm,Other
tax_law,Professional Services
indian_grocery_store,Retail & Shopping
flowers_and_gifts_shop,Retail & Shopping
prosthetics,Other
telemarketing_services,Retail & Shopping
knitting_supply,Automotive
korean_grocery_store,Retail & Shopping
meat_restaurant,Food & Dining
theatre,Other
tui_na,Other
bartending_school,Food & Dining
agricultural_service,Automotive
textile_mill,Industrial & Manufacturing
maternity_wear,Healthcare & Medical
colombian_restaurant,Food & Dining
brewing_supply_store,Retail & Shopping
organ_and_tissue_donor_service,Automotive
automotive_repair,Automotive
media_agency,Government & Public Services
cosmetic_surgeon,Healthcare & Medical
diving_center,Entertainment & Recreation
patent_law,Professional Services
sand_dune,Other
