om_category,fsq_category_name,fsq_category_label,confidence_score
music_school,Music School,Community and Government > Education > Music School,88.5
logging_services,Logging Service,Business and Professional Services > Logging Service,88.5
laundry_services,Laundry Service,Business and Professional Services > Laundry Service,88.5
automotive_parts_and_accessories,Car Parts and Accessories,Retail > Automotive Retail > Car Parts and Accessories,88.3
education,Education,Community and Government > Education,88.3
squash_court,Squash Court,Sports and Recreation > Racquet Sports > Squash Court,88.2
skate_park,Skate Park,Sports and Recreation > Skating > Skate Park,88.2
pest_control_service,Pest Control Service,Business and Professional Services > Home Improvement Service > Pest Control Service,88.2
dog_park,Dog Park,Landmarks and Outdoors > Park > Dog Park,88.2
dermatologist,Dermatologist,Health and Medicine > Physician > Dermatologist,88.2
buddhist_temple,Buddhist Temple,Community and Government > Spiritual Center > Buddhist Temple,88.1
aquarium,Aquarium,Arts and Entertainment > Aquarium,88.1
mountain,Mountain,Landmarks and Outdoors > Mountain,88.1
brewery,Brewery,Dining and Drinking > Brewery,88.1
fountain,Fountain,Landmarks and Outdoors > Fountain,88.1
hospice,Hospice,Health and Medicine > Hospice,88.1
monument,Monument,Landmarks and Outdoors > Monument,88.1
coworking_space,Coworking Space,Business and Professional Services > Office > Coworking Space,88.1
sports_medicine,Sports Medicine Clinic,Health and Medicine > Sports Medicine Clinic,88.0
performing_arts,Performing Arts Venue,Arts and Entertainment > Performing Arts Venue,88.0
rental_services,Rental Service,Business and Professional Services > Rental Service,88.0
psychiatrist,Psychiatrist,Health and Medicine > Physician > Psychiatrist,87.8
cardiologist,Cardiologist,Health and Medicine > Physician > Cardiologist,87.8
pediatrician,Pediatrician,Health and Medicine > Physician > Pediatrician,87.8
yoga_studio,Yoga Studio,Sports and Recreation > Gym and Studio > Yoga Studio,87.8
automotive_repair,Automotive Repair Shop,Business and Professional Services > Automotive Service > Automotive Repair Shop,87.6
metro_station,Metro Station,Travel and Transportation > Transport Hub > Metro Station,87.6
airport_terminal,Airport Terminal,Travel and Transportation > Transport Hub > Airport > Airport Terminal,87.6
street_art,Street Art,Arts and Entertainment > Public Art > Street Art,87.5
labor_union,Labor Union,Community and Government > Organization > Labor Union,87.5
art_school,Art School,Community and Government > Education > Art School,87.5
physical_therapy,Physical Therapy Clinic,Health and Medicine > Physical Therapy Clinic,87.5
fire_department,Department Store,Retail > Department Store,87.4
rv_storage_facility,Storage Facility,Business and Professional Services > Storage Facility,87.4
neurologist,Neurologist,Health and Medicine > Physician > Neurologist,87.2
legal_services,Legal Service,Business and Professional Services > Legal Service,87.2
pathologist,Pathologist,Health and Medicine > Physician > Pathologist,87.2
speakeasy,Speakeasy,Dining and Drinking > Bar > Speakeasy,87.2
veterans_organization,Veterans' Organization,Community and Government > Organization > Veterans' Organization,87.2
boxing_gym,Boxing Gym,Sports and Recreation > Gym and Studio > Boxing Gym,87.2
radiologist,Radiologist,Health and Medicine > Physician > Radiologist,87.2
motorcycle_repair,Motorcycle Repair Shop,Business and Professional Services > Automotive Service > Motorcycle Repair Shop,87.1
cidery,Cidery,Dining and Drinking > Cidery,87.1
winery,Winery,Dining and Drinking > Winery,87.1
currency_exchange,Currency Exchange,Business and Professional Services > Financial Service > Currency Exchange,87.1
festival,Festival,Event > Entertainment Event > Festival,87.1
playground,Playground,Landmarks and Outdoors > Park > Playground,87.0
tennis_court,Tennis Court,Sports and Recreation > Racquet Sports > Tennis > Tennis Court,87.0
airport_lounge,Airport Lounge,Travel and Transportation > Transport Hub > Airport > Airport Lounge,86.8
music_venue,Music Venue,Arts and Entertainment > Performing Arts Venue > Music Venue,86.8
hindu_temple,Hindu Temple,Community and Government > Spiritual Center > Hindu Temple,86.8
oncologist,Oncologist,Health and Medicine > Physician > Oncologist,86.8
rv_park,RV Park,Travel and Transportation > RV Park,86.6
electronics,Electronics Store,Retail > Computers and Electronics Retail > Electronics Store,86.6
towing_service,Towing Service,Business and Professional Services > Automotive Service > Towing Service,86.6
steakhouse,Steakhouse,Dining and Drinking > Restaurant > Steakhouse,86.5
packing_supply,Packaging Supply Store,Retail > Packaging Supply Store,86.4
circus,Circus,Arts and Entertainment > Circus,86.3
arcade,Arcade,Arts and Entertainment > Arcade,86.3
sikh_temple,Sikh Temple,Community and Government > Spiritual Center > Sikh Temple,86.3
forest,Forest,Landmarks and Outdoors > Forest,86.3
bridge,Bridge,Landmarks and Outdoors > Bridge,86.3
island,Island,Landmarks and Outdoors > Island,86.3
palace,Palace,Landmarks and Outdoors > Palace,86.3
castle,Castle,Landmarks and Outdoors > Castle,86.3
laboratory,Laboratory,Business and Professional Services > Laboratory,86.2
auditorium,Auditorium,Business and Professional Services > Auditorium,86.2
urologist,Urologist,Health and Medicine > Physician > Urologist,86.2
laundromat,Laundromat,Business and Professional Services > Laundromat,86.2
wholesaler,Wholesaler,Business and Professional Services > Wholesaler,86.2
elementary_school,Elementary School,Community and Government > Education > Primary and Secondary School > Elementary School,86.1
internal_medicine,Internal Medicine Doctor,Health and Medicine > Physician > Internal Medicine Doctor,86.0
gastropub,Gastropub,Dining and Drinking > Restaurant > Gastropub,86.0
health_department,Department Store,Retail > Department Store,85.9
boat_parts_and_accessories,Car Parts and Accessories,Retail > Automotive Retail > Car Parts and Accessories,85.8
karaoke,Karaoke Bar,Dining and Drinking > Bar > Karaoke Bar,85.8
business,Business Center,Business and Professional Services > Business Center,85.8
abuse_and_addiction_treatment,Addiction Treatment Center,Community and Government > Addiction Treatment Center,85.7
beach,Beach,Landmarks and Outdoors > Beach,85.6
sauna,Sauna,Sports and Recreation > Sauna,85.6
public_relations,Public Relations Firm,Business and Professional Services > Public Relations Firm,85.6
river,River,Landmarks and Outdoors > River,85.6
industrial_equipment,Industrial Equipment Supplier,Business and Professional Services > Industrial Equipment Supplier,85.6
pet_services,Pet Service,Business and Professional Services > Pet Service,85.6
plaza,Plaza,Landmarks and Outdoors > Plaza,85.6
shopping,Shopping Mall,Retail > Shopping Mall,85.6
canal,Canal,Landmarks and Outdoors > Canal,85.6
driving_range,Golf Driving Range,Sports and Recreation > Golf > Golf Driving Range,85.5
preschool,Preschool,Community and Government > Education > Preschool,85.5
psychologist,Psychologist,Health and Medicine > Mental Health Service > Psychologist,85.5
business_storage_and_transportation,Travel and Transportation,Travel and Transportation,85.4
medical_school,Medical School,Community and Government > Education > College and University > Medical School,85.4
beach_volleyball_court,Volleyball Court,Sports and Recreation > Volleyball Court,85.2
home_service,Home Service,Business and Professional Services > Home Improvement Service > Home Service,85.1
lounge,Lounge,Dining and Drinking > Bar > Lounge,85.0
fashion_accessories_store,Fashion Accessories Store,Retail > Fashion Retail > Fashion Accessories Store,85.0
bubble_tea,Bubble Tea Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Bubble Tea Shop",84.9
tanning_salon,Tanning Salon,Business and Professional Services > Health and Beauty Service > Tanning Salon,84.8
courthouse,Courthouse,Community and Government > Government Building > Courthouse,84.8
self_storage_facility,Storage Facility,Business and Professional Services > Storage Facility,84.8
chimney_sweep,Chimney Sweep,Business and Professional Services > Home Improvement Service > Chimney Sweep,84.8
middle_school,Middle School,Community and Government > Education > Primary and Secondary School > Middle School,84.6
farm,Farm,Landmarks and Outdoors > Farm,84.3
lake,Lake,Landmarks and Outdoors > Lake,84.3
social_service_organizations,Social Services Organization,Community and Government > Organization > Social Services Organization,84.3
cave,Cave,Landmarks and Outdoors > Cave,84.3
fair,Fair,Arts and Entertainment > Fair,84.3
boat_storage_facility,Storage Facility,Business and Professional Services > Storage Facility,84.1
auto_restoration_services,Art Restoration Service,Business and Professional Services > Art Restoration Service,84.1
adult_entertainment,Arts and Entertainment,Arts and Entertainment,84.1
synagogue,Synagogue,Community and Government > Spiritual Center > Synagogue,84.0
surfing,Surfing,Sports and Recreation > Water Sports > Surfing,84.0
bistro,Bistro,Dining and Drinking > Restaurant > Bistro,84.0
business_to_business_services,Business Service,Business and Professional Services > Business Service,83.9
high_school,High School,Community and Government > Education > Primary and Secondary School > High School,83.9
photographer,Photographer,Business and Professional Services > Photography Service > Photographer,83.9
tea_room,Tea Room,"Dining and Drinking > Cafe, Coffee, and Tea House > Tea Room",83.9
commercial_real_estate,Commercial Real Estate Developer,Business and Professional Services > Real Estate Service > Commercial Real Estate Developer,83.8
ear_nose_and_throat,"Ear, Nose and Throat Doctor","Health and Medicine > Physician > Ear, Nose and Throat Doctor",83.8
pier,Pier,Travel and Transportation > Pier,83.8
scuba_diving_instruction,Scuba Diving Instructor,Sports and Recreation > Water Sports > Scuba Diving Instructor,83.7
fashion,Fashion Retail,Retail > Fashion Retail,83.5
resort,Resort,Travel and Transportation > Lodging > Resort,83.5
hair_salon,Hair Salon,Business and Professional Services > Health and Beauty Service > Hair Salon,83.5
hostel,Hostel,Travel and Transportation > Lodging > Hostel,83.5
nail_salon,Nail Salon,Business and Professional Services > Health and Beauty Service > Nail Salon,83.5
motorcycle_dealer,Motorcycle Dealership,Retail > Automotive Retail > Motorcycle Dealership,83.3
escape_rooms,Escape Room,Arts and Entertainment > Escape Room,83.2
childrens_hospital,Children's Hospital,Health and Medicine > Hospital > Children's Hospital,83.2
ice_skating_rink,Skating Rink,Sports and Recreation > Skating > Skating Rink,83.2
brasserie,Brasserie,Dining and Drinking > Restaurant > French Restaurant > Brasserie,83.2
b2b_hardware,Hardware Store,Retail > Hardware Store,83.1
b2b_textiles,Textiles Store,Retail > Textiles Store,83.1
dam,Dam,Landmarks and Outdoors > Dam,83.1
art_restoration,Art Restoration Service,Business and Professional Services > Art Restoration Service,83.1
gelato,Gelato Shop,Dining and Drinking > Dessert Shop > Gelato Shop,83.0
food_and_beverage_exporter,Food and Beverage Retail,Retail > Food and Beverage Retail,83.0
diner,Diner,Dining and Drinking > Restaurant > Diner,83.0
credit_union,Credit Union,Business and Professional Services > Financial Service > Banking and Finance > Credit Union,83.0
duty_free_shop,Duty-free Store,Retail > Duty-free Store,83.0
nature_reserve,Nature Preserve,Landmarks and Outdoors > Nature Preserve,82.9
electrician,Electrician,Business and Professional Services > Home Improvement Service > Electrician,82.9
organic_grocery_store,Organic Grocery,Retail > Food and Beverage Retail > Grocery Store > Organic Grocery,82.9
pet_transportation,Travel and Transportation,Travel and Transportation,82.8
motel,Motel,Travel and Transportation > Lodging > Motel,82.8
youth_organizations,Youth Organization,Community and Government > Organization > Youth Organization,82.8
lodge,Lodge,Travel and Transportation > Lodging > Lodge,82.8
cabin,Cabin,Travel and Transportation > Lodging > Cabin,82.8
media_restoration_service,Art Restoration Service,Business and Professional Services > Art Restoration Service,82.7
batting_cage,Batting Cages,Sports and Recreation > Baseball > Batting Cages,82.7
country_dance_hall,Country Dance Club,Arts and Entertainment > Country Dance Club,82.5
property_management,Property Management Office,Business and Professional Services > Real Estate Service > Property Management Office,82.5
engine_repair_service,Repair Service,Business and Professional Services > Repair Service,82.5
public_utility_company,Utility Company,Community and Government > Utility Company,82.3
home_organization,Organization,Community and Government > Organization,82.2
temple,Temple,Community and Government > Spiritual Center > Temple,82.2
mosque,Mosque,Community and Government > Spiritual Center > Mosque,82.2
acupuncture,Acupuncture Clinic,Health and Medicine > Acupuncture Clinic,82.2
pub,Pub,Dining and Drinking > Bar > Pub,82.0
molecular_gastronomy_restaurant,Molecular Gastronomy Restaurant,Dining and Drinking > Restaurant > Molecular Gastronomy Restaurant,82.0
tree_services,Tree Service,Business and Professional Services > Home Improvement Service > Tree Service,82.0
stress_management_services,Waste Management Service,Business and Professional Services > Waste Management Service,81.9
carpenter,Carpenter,Business and Professional Services > Home Improvement Service > Carpenter,81.9
architecture,Architecture Firm,Business and Professional Services > Architecture Firm,81.8
hot_air_balloons_tour,Hot Air Balloon Tour Agency,Travel and Transportation > Hot Air Balloon Tour Agency,81.8
coffee_roastery,Coffee Roaster,Retail > Food and Beverage Retail > Coffee Roaster,81.6
sri_lankan_restaurant,Sri Lankan Restaurant,Dining and Drinking > Restaurant > Sri Lankan Restaurant,81.6
business_management_services,Waste Management Service,Business and Professional Services > Waste Management Service,81.6
police_department,Department Store,Retail > Department Store,81.6
event_planning,Event,Event,81.5
latin_american_restaurant,Latin American Restaurant,Dining and Drinking > Restaurant > Latin American Restaurant,81.4
college_university,College and University,Community and Government > Education > College and University,81.4
metal_supplier,Metals Supplier,Business and Professional Services > Metals Supplier,81.3
automotive_dealer,Automotive Retail,Retail > Automotive Retail,81.1
clock_repair_service,Repair Service,Business and Professional Services > Repair Service,81.0
watch_repair_service,Repair Service,Business and Professional Services > Repair Service,81.0
inn,Inn,Travel and Transportation > Lodging > Inn,81.0
kitchen_supply_store,Kitchen Supply Store,Retail > Furniture and Home Store > Kitchen Supply Store,81.0
wok_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,80.9
caterer,Caterer,Business and Professional Services > Food and Beverage Service > Caterer,80.9
entertainment_law,Entertainment Event,Event > Entertainment Event,80.8
party_bike_rental,Bike Rental,Travel and Transportation > Bike Rental,80.8
food_and_beverage_consultant,Food and Beverage Retail,Retail > Food and Beverage Retail,80.8
bike_rentals,Bike Rental,Travel and Transportation > Bike Rental,80.8
fish_and_chips_restaurant,Fish and Chips Shop,Dining and Drinking > Restaurant > Fish and Chips Shop,80.8
paintball,Paintball Field,Sports and Recreation > Paintball Field,80.8
obstetrician_and_gynecologist,Obstetrician Gynecologist (Ob-gyn),Health and Medicine > Physician > Obstetrician Gynecologist (Ob-gyn),80.7
jazz_and_blues,Jazz and Blues Venue,Arts and Entertainment > Performing Arts Venue > Music Venue > Jazz and Blues Venue,80.6
asian_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,80.6
used_car_dealer,Used Car Dealership,Retail > Automotive Retail > Car Dealership > Used Car Dealership,80.6
food_beverage_service_distribution,Food Distribution Center,Business and Professional Services > Food and Beverage Service > Food Distribution Center,80.5
rug_store,Drugstore,Retail > Drugstore,80.5
scandinavian_restaurant,Scandinavian Restaurant,Dining and Drinking > Restaurant > Scandinavian Restaurant,80.5
fruits_and_vegetables,Fruit and Vegetable Store,Retail > Food and Beverage Retail > Fruit and Vegetable Store,80.4
rock_climbing_gym,Climbing Gym,Sports and Recreation > Gym and Studio > Climbing Gym,80.4
medical_spa,Medical Supply Store,Retail > Medical Supply Store,80.4
cajun_and_creole_restaurant,Cajun and Creole Restaurant,Dining and Drinking > Restaurant > Cajun and Creole Restaurant,80.4
rv_and_boat_storage_facility,Storage Facility,Business and Professional Services > Storage Facility,80.3
ev_charging_station,Electric Vehicle Charging Station,Travel and Transportation > Electric Vehicle Charging Station,80.3
medical_law,Medical Lab,Health and Medicine > Medical Lab,80.2
business_brokers,Business Broker,Business and Professional Services > Financial Service > Business Broker,80.1
corporate_entertainment_services,Entertainment Service,Business and Professional Services > Entertainment Service,80.0
ukrainian_restaurant,Ukrainian Restaurant,Dining and Drinking > Restaurant > Ukrainian Restaurant,80.0
health_market,Market,Retail > Market,79.9
real_estate,Real Estate Service,Business and Professional Services > Real Estate Service,79.8
shoe_repair,Shoe Repair Service,Business and Professional Services > Shoe Repair Service,79.8
hot_springs,Hot Spring,Landmarks and Outdoors > Hot Spring,79.8
champagne_bar,Champagne Bar,Dining and Drinking > Bar > Champagne Bar,79.8
vegan_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,79.7
greek_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,79.7
rest_areas,Rest Area,Travel and Transportation > Rest Area,79.7
irish_restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,79.7
souvenir_shop,Souvenir Store,Retail > Souvenir Store,79.6
jewelry_repair_service,Repair Service,Business and Professional Services > Repair Service,79.6
social_media_agency,Media Agency,Business and Professional Services > Media Agency,79.6
forestry_service,Agriculture and Forestry Service,Business and Professional Services > Agriculture and Forestry Service,79.6
pet_hospice,Hospice,Health and Medicine > Hospice,79.6
cannabis_tour,Cannabis Store,Retail > Cannabis Store,79.6
home_improvement_store,Home Improvement Service,Business and Professional Services > Home Improvement Service,79.5
appliance_repair_service,Repair Service,Business and Professional Services > Repair Service,79.5
corporate_office,Corporate Coffee Shop,Business and Professional Services > Office > Corporate Coffee Shop,79.5
eastern_european_restaurant,Eastern European Restaurant,Dining and Drinking > Restaurant > Eastern European Restaurant,79.5
hydraulic_repair_service,Repair Service,Business and Professional Services > Repair Service,79.5
pipeline_transportation,Travel and Transportation,Travel and Transportation,79.4
academic_bookstore,Bookstore,Retail > Bookstore,79.4
housing_authorities,Housing Authority,Community and Government > Housing Authority,79.3
hungarian_restaurant,Hungarian Restaurant,Dining and Drinking > Restaurant > Hungarian Restaurant,79.2
child_psychiatrist,Psychiatrist,Health and Medicine > Physician > Psychiatrist,79.2
construction_services,Construction Supplies Store,Retail > Construction Supplies Store,79.2
