CATEGORY_LABEL,SIMPLIFIED_CATEGORY
agricultural_cooperatives,Arts & Entertainment
oil_refiners,Other Services
nutritionist,Beauty & Wellness
divorce_and_family_law,Professional Services
welding_supply_store,Retail & Shopping
b2b_food_products,Food & Dining
hydraulic_repair_service,Automotive
building_supply_store,Retail & Shopping
information_technology_company,Other Services
elder_care_planning,Community & Social Services
printing_equipment_and_supply,Manufacturing & Industrial
go_kart_track,Sports & Recreation
civic_center,Government & Public Services
attraction_farm,Tourism & Attractions
emergency_medicine,Healthcare & Medical
cardiologist,Healthcare & Medical
trailer_dealer,Automotive
zoo,Arts & Entertainment
furniture_rental_service,Event Services
rugby_pitch,Sports & Recreation
shoe_shining_service,Other Services
jail_and_prison,Government & Public Services
marketing_agency,Retail & Shopping
office_equipment,Other Services
packing_services,Other Services
b2b_equipment_maintenance_and_repair,Automotive
ticket_sales,Other Services
bus_rentals,Other Services
seafood_restaurant,Food & Dining
iv_hydration,Other Services
racing_experience,Other Services
fish_restaurant,Food & Dining
contractor,Construction & Contractors
land_surveying,Other Services
kitchen_remodeling,Construction & Contractors
animal_hospital,Healthcare & Medical
afghan_restaurant,Food & Dining
studio_taping,Arts & Entertainment
garbage_collection_service,Utilities & Infrastructure
coworking_space,Beauty & Wellness
makerspace,Beauty & Wellness
barbecue_restaurant,Food & Dining
pasta_shop,Food & Dining
automotive_parts_and_accessories,Automotive
air_duct_cleaning_service,Home & Garden Services
wheel_and_rim_repair,Automotive
scooter_tours,Tourism & Attractions
nursery_and_gardening,Parks & Natural Features
auto_customization,Automotive
child_care_and_day_care,Education
rental_service,Event Services
honduran_restaurant,Food & Dining
personal_chef,Personal Services
kosher_grocery_store,Retail & Shopping
b2b_storage_and_warehouses,Manufacturing & Industrial
ear_nose_and_throat,Other Services
midwife,Healthcare & Medical
shoe_factory,Manufacturing & Industrial
water_purification_services,Other Services
cosmetic_dentist,Healthcare & Medical
b2b_apparel,Retail & Shopping
virtual_reality_center,Arts & Entertainment
plus_size_clothing,Retail & Shopping
forestry_consultants,Professional Services
physical_therapy,Healthcare & Medical
florist,Event Services
cpr_classes,Education
car_stereo_store,Retail & Shopping
lawn_mower_store,Retail & Shopping
scientific_laboratories,Other Services
teeth_whitening,Other Services
malaysian_restaurant,Food & Dining
beauty_salon,Beauty & Wellness
pet_store,Retail & Shopping
marina,Other Services
history_museum,Arts & Entertainment
industrial_cleaning_services,Home & Garden Services
pumpkin_patch,Agriculture & Farming
trail,Sports & Recreation
coffee_and_tea_supplies,Food & Dining
religious_organization,Religious & Spiritual
door_sales_service,Other Services
pediatric_surgery,Healthcare & Medical
deck_and_railing_sales_service,Home & Garden Services
social_security_services,Government & Public Services
csa_farm,Agriculture & Farming
key_and_locksmith,Home & Garden Services
beach_resort,Accommodation & Lodging
free_diving_center,Sports & Recreation
painting,Construction & Contractors
railroad_freight,Transportation
baseball_stadium,Sports & Recreation
european_restaurant,Food & Dining
apartment_agent,Accommodation & Lodging
wine_tasting_classes,Education
vermouth_bar,Food & Dining
pig_farm,Agriculture & Farming
coffee_shop,Food & Dining
bartender,Food & Dining
auto_glass_service,Automotive
rug_store,Retail & Shopping
sandwich_shop,Food & Dining
plumbing,Construction & Contractors
frozen_foods,Food & Dining
argentine_restaurant,Food & Dining
tire_repair_shop,Retail & Shopping
traffic_ticketing_law,Professional Services
credit_union,Financial Services
poke_restaurant,Food & Dining
barre_classes,Food & Dining
plastic_company,Manufacturing & Industrial
cannabis_collective,Other Services
disc_golf_course,Sports & Recreation
retail,Retail & Shopping
chemical_plant,Manufacturing & Industrial
carpet_cleaning,Home & Garden Services
cajun_and_creole_restaurant,Food & Dining
road_structures_and_services,Other Services
urban_farm,Agriculture & Farming
sport_equipment_rentals,Transportation
paintball,Sports & Recreation
food_stand,Food & Dining
telecommunications,Utilities & Infrastructure
oil_and_gas_exploration_and_development,Manufacturing & Industrial
canal,Other Services
canyon,Parks & Natural Features
apartments,Accommodation & Lodging
community_center,Community & Social Services
asian_grocery_store,Retail & Shopping
online_shop,Retail & Shopping
talent_agency,Government & Public Services
duty_free_shop,Retail & Shopping
texmex_restaurant,Food & Dining
diner,Food & Dining
farming_services,Agriculture & Farming
travel_company,Other Services
mystic,Religious & Spiritual
performing_arts,Arts & Entertainment
book_magazine_distribution,Manufacturing & Industrial
diy_foods_restaurant,Food & Dining
roofing,Construction & Contractors
firewood,Other Services
vascular_medicine,Healthcare & Medical
professional_sports_league,Sports & Recreation
golf_instructor,Sports & Recreation
jazz_and_blues,Other Services
corporate_gift_supplier,Business-to-Business
political_party_office,Event Services
food_consultant,Food & Dining
fastener_supplier,Business-to-Business
forklift_dealer,Automotive
antenna_service,Other Services
forest,Parks & Natural Features
tattoo_removal,Beauty & Wellness
lake,Parks & Natural Features
police_department,Government & Public Services
b2b_textiles,Manufacturing & Industrial
circus,Arts & Entertainment
food_and_beverage_exporter,Food & Dining
closet_remodeling,Construction & Contractors
sports_museum,Arts & Entertainment
aquarium,Arts & Entertainment
party_equipment_rental,Event Services
agricultural_production,Arts & Entertainment
gastropub,Food & Dining
kickboxing_club,Beauty & Wellness
construction_services,Construction & Contractors
metals,Manufacturing & Industrial
barber,Food & Dining
printing_services,Manufacturing & Industrial
car_inspection,Automotive
music_festivals_and_organizations,Arts & Entertainment
media_restoration_service,Automotive
womens_clothing_store,Retail & Shopping
b2b_furniture_and_housewares,Business-to-Business
school_sports_team,Sports & Recreation
hotel_supply_service,Accommodation & Lodging
rest_areas,Other Services
laser_cutting_service_provider,Other Services
tutoring_center,Education
paint_store,Retail & Shopping
car_buyer,Automotive
art_school,Arts & Entertainment
occupational_medicine,Healthcare & Medical
elevator_service,Other Services
orthodontist,Other Services
translation_services,Professional Services
framing_store,Retail & Shopping
installment_loans,Financial Services
topic_concert_venue,Arts & Entertainment
cidery,Food & Dining
swimwear_store,Retail & Shopping
b2b_rubber_and_plastics,Manufacturing & Industrial
business_banking_service,Financial Services
family_counselor,Healthcare & Medical
window_treatment_store,Retail & Shopping
puerto_rican_restaurant,Food & Dining
b2b_truck_equipment_parts_and_accessories,Automotive
armenian_restaurant,Food & Dining
sake_bar,Food & Dining
boat_service_and_repair,Automotive
waterfall,Parks & Natural Features
topic_publisher,Food & Dining
alternative_medicine,Healthcare & Medical
business_equipment_and_supply,Other Services
bearing_supplier,Business-to-Business
catholic_church,Religious & Spiritual
food_beverage_service_distribution,Food & Dining
otologist,Healthcare & Medical
pedicab_service,Other Services
personal_care_service,Other Services
paint_your_own_pottery,Other Services
breakfast_and_brunch_restaurant,Food & Dining
motorcycle_rentals,Automotive
home_organization,Community & Social Services
trade_fair,Arts & Entertainment
real_estate_photography,Real Estate
exhibition_and_trade_center,Other Services
car_dealer,Automotive
bank_credit_union,Financial Services
gift_shop,Retail & Shopping
safety_equipment,Other Services
writing_service,Other Services
aerial_fitness_center,Beauty & Wellness
architect,Professional Services
garage_door_service,Home & Garden Services
boat_rental_and_training,Education
demolition_service,Construction & Contractors
sky_diving,Sports & Recreation
musical_band_orchestras_and_symphonies,Arts & Entertainment
national_security_services,Government & Public Services
discount_store,Retail & Shopping
beer_bar,Food & Dining
prosthodontist,Other Services
aromatherapy,Healthcare & Medical
indo_chinese_restaurant,Food & Dining
truck_rentals,Automotive
vending_machine_supplier,Business-to-Business
security_services,Other Services
photography_store_and_services,Retail & Shopping
paddleboarding_center,Sports & Recreation
utility_service,Utilities & Infrastructure
rehabilitation_center,Healthcare & Medical
home_improvement_store,Retail & Shopping
coal_and_coke,Manufacturing & Industrial
dance_club,Arts & Entertainment
laundromat,Other Services
health_market,Healthcare & Medical
donation_center,Community & Social Services
lactation_services,Healthcare & Medical
engineering_services,Professional Services
pediatric_orthopedic_surgery,Healthcare & Medical
mattress_store,Retail & Shopping
reiki,Beauty & Wellness
egyptian_restaurant,Food & Dining
lawyer,Professional Services
belgian_restaurant,Food & Dining
jehovahs_witness_kingdom_hall,Religious & Spiritual
energy_equipment_and_solution,Utilities & Infrastructure
currency_exchange,Financial Services
whale_watching_tours,Tourism & Attractions
health_and_medical,Healthcare & Medical
charity_organization,Community & Social Services
irish_pub,Food & Dining
shared_office_space,Beauty & Wellness
country_club,Other Services
iron_work,Manufacturing & Industrial
bed_and_breakfast,Accommodation & Lodging
airport_shuttles,Transportation
backpacking_area,Other Services
supermarket,Retail & Shopping
importers,Transportation
music_critic,Other Services
reptile_shop,Retail & Shopping
mattress_manufacturing,Manufacturing & Industrial
feng_shui,Other Services
pediatric_pulmonology,Healthcare & Medical
carpenter,Construction & Contractors
gluten_free_restaurant,Food & Dining
spiritual_shop,Retail & Shopping
architecture_schools,Education
pawn_shop,Retail & Shopping
power_plants_and_power_plant_service,Utilities & Infrastructure
anesthesiologist,Healthcare & Medical
vietnamese_restaurant,Food & Dining
hair_extensions,Beauty & Wellness
urologist,Healthcare & Medical
boudoir_photography,Beauty & Wellness
granite_supplier,Business-to-Business
machine_shop,Retail & Shopping
opera_and_ballet,Arts & Entertainment
japanese_confectionery_shop,Retail & Shopping
religious_items,Religious & Spiritual
cheese_shop,Food & Dining
cigar_bar,Food & Dining
motorcycle_dealer,Automotive
pulmonologist,Healthcare & Medical
cuban_restaurant,Food & Dining
local_and_state_government_offices,Government & Public Services
mosque,Religious & Spiritual
health_coach,Healthcare & Medical
holiday_decor,Other Services
endodontist,Other Services
home_developer,Real Estate
game_publisher,Food & Dining
sri_lankan_restaurant,Food & Dining
bulk_billing,Other Services
hot_springs,Parks & Natural Features
beach,Parks & Natural Features
medical_center,Healthcare & Medical
foster_care_services,Community & Social Services
cement_supplier,Business-to-Business
water_store,Retail & Shopping
beach_bar,Food & Dining
sports_and_recreation_venue,Sports & Recreation
recreation_vehicle_repair,Automotive
internet_marketing_service,Retail & Shopping
chicken_restaurant,Food & Dining
sign_making,Other Services
non_governmental_association,Government & Public Services
mobile_home_dealer,Automotive
general_festivals,Arts & Entertainment
scrap_metals,Manufacturing & Industrial
mountain_bike_trails,Sports & Recreation
halotherapy,Healthcare & Medical
car_wash,Automotive
canoe_and_kayak_hire_service,Sports & Recreation
architectural_designer,Professional Services
pediatric_dentist,Healthcare & Medical
organization,Community & Social Services
laundry_services,Personal Services
sports_bar,Food & Dining
brake_service_and_repair,Automotive
lumber_store,Retail & Shopping
outdoor_furniture_store,Retail & Shopping
audio_visual_production_and_design,Arts & Entertainment
yoga_instructor,Beauty & Wellness
south_african_restaurant,Food & Dining
business_manufacturing_and_supply,Manufacturing & Industrial
luggage_storage,Other Services
heliports,Transportation
horse_racing_track,Sports & Recreation
party_character,Event Services
vitamins_and_supplements,Other Services
fitness_trainer,Beauty & Wellness
womens_health_clinic,Healthcare & Medical
paralegal_services,Professional Services
team_building_activity,Other Services
fish_farms_and_hatcheries,Agriculture & Farming
wholesale_store,Retail & Shopping
resort,Accommodation & Lodging
night_market,Retail & Shopping
nicaraguan_restaurant,Food & Dining
environmental_renewable_natural_resource,Manufacturing & Industrial
street_vendor,Other Services
escape_rooms,Arts & Entertainment
archery_range,Sports & Recreation
cave,Parks & Natural Features
public_bath_houses,Food & Dining
beauty_and_spa,Beauty & Wellness
fertilizer_store,Retail & Shopping
karate_club,Beauty & Wellness
african_restaurant,Food & Dining
community_health_center,Healthcare & Medical
ceremonial_clothing,Retail & Shopping
optometrist,Healthcare & Medical
excavation_service,Construction & Contractors
parenting_classes,Education
general_litigation,Other Services
pediatric_neurology,Healthcare & Medical
pediatric_radiology,Healthcare & Medical
ferry_service,Transportation
livestock_breeder,Financial Services
automation_services,Automotive
henna_artist,Arts & Entertainment
bistro,Food & Dining
tanning_bed,Beauty & Wellness
foot_care,Other Services
sailing_club,Sports & Recreation
fitness_exercise_equipment,Beauty & Wellness
automotive_wheel_polishing_service,Automotive
hawaiian_restaurant,Food & Dining
exhaust_and_muffler_repair,Automotive
logging_equipment_and_supplies,Other Services
tiling,Construction & Contractors
road_contractor,Construction & Contractors
civil_rights_lawyers,Professional Services
orchard,Agriculture & Farming
beer_tours,Tourism & Attractions
spine_surgeon,Healthcare & Medical
fishing_charter,Sports & Recreation
fish_and_chips_restaurant,Food & Dining
fashion_accessories_store,Retail & Shopping
freight_and_cargo_service,Other Services
meat_wholesaler,Other Services
car_broker,Automotive
proctologist,Healthcare & Medical
logging_contractor,Construction & Contractors
pool_hall,Other Services
windows_installation,Other Services
gutter_service,Home & Garden Services
vacation_rental_agents,Accommodation & Lodging
ice_supplier,Business-to-Business
ride_sharing,Transportation
restaurant,Food & Dining
hair_salon,Beauty & Wellness
horseback_riding_service,Other Services
gymnastics_club,Beauty & Wellness
surf_shop,Retail & Shopping
fidelity_and_surety_bonds,Other Services
crops_production,Arts & Entertainment
homeless_shelter,Pet Services
art_supply_store,Retail & Shopping
israeli_restaurant,Food & Dining
architectural_tours,Professional Services
army_and_navy_store,Retail & Shopping
dim_sum_restaurant,Food & Dining
gastroenterologist,Healthcare & Medical
water_park,Arts & Entertainment
hockey_arena,Sports & Recreation
genealogists,Other Services
b2b_hardware,Business-to-Business
emergency_roadside_service,Other Services
payroll_services,Other Services
cultural_center,Arts & Entertainment
motel,Accommodation & Lodging
professional_sports_team,Sports & Recreation
hepatologist,Healthcare & Medical
ayurveda,Healthcare & Medical
industrial_spares_and_products_wholesaler,Manufacturing & Industrial
car_window_tinting,Automotive
academic_bookstore,Retail & Shopping
flower_markets,Retail & Shopping
middle_school,Education
choir,Arts & Entertainment
customs_broker,Financial Services
plaza,Other Services
well_drilling,Construction & Contractors
business_financing,Other Services
supernatural_reading,Other Services
carpet_store,Retail & Shopping
solar_installation,Other Services
shaved_ice_shop,Food & Dining
polynesian_restaurant,Food & Dining
scale_supplier,Business-to-Business
doula,Healthcare & Medical
scuba_diving_center,Sports & Recreation
department_of_motor_vehicles,Automotive
restaurant_equipment_and_supply,Food & Dining
glass_and_mirror_sales_service,Other Services
lighthouse,Tourism & Attractions
volleyball_court,Sports & Recreation
data_recovery,Technology & IT
freight_forwarding_agency,Government & Public Services
workers_compensation_law,Professional Services
inventory_control_service,Other Services
animal_shelter,Pet Services
eyewear_and_optician,Retail & Shopping
ev_charging_station,Other Services
boat_parts_and_supply_store,Retail & Shopping
footwear_wholesaler,Other Services
radiologist,Healthcare & Medical
pet_adoption,Pet Services
contemporary_art_museum,Arts & Entertainment
real_estate_agent,Real Estate
adult_entertainment,Arts & Entertainment
audio_visual_equipment_store,Retail & Shopping
public_utility_company,Food & Dining
pediatric_gastroenterology,Healthcare & Medical
translating_and_interpreting_services,Other Services
tire_dealer_and_repair,Automotive
pipe_supplier,Business-to-Business
syrian_restaurant,Food & Dining
family_practice,Other Services
towing_service,Automotive
outlet_store,Retail & Shopping
debt_relief_services,Financial Services
wine_tasting_room,Other Services
czech_restaurant,Food & Dining
jewelry_repair_service,Automotive
tennis_stadium,Sports & Recreation
farmers_market,Retail & Shopping
private_jet_charters,Other Services
eat_and_drink,Food & Dining
auction_house,Other Services
fertility,Healthcare & Medical
mobility_equipment_services,Other Services
b2b_medical_support_services,Healthcare & Medical
active_life,Other Services
float_spa,Beauty & Wellness
art_gallery,Arts & Entertainment
accountant,Professional Services
water_supplier,Utilities & Infrastructure
ranch,Agriculture & Farming
aircraft_manufacturer,Manufacturing & Industrial
drive_thru_bar,Food & Dining
school_sports_league,Sports & Recreation
distillery,Food & Dining
table_tennis_club,Sports & Recreation
misting_system_services,Other Services
school,Education
cafe,Food & Dining
bus_station,Transportation
oncologist,Healthcare & Medical
observatory,Arts & Entertainment
adult_education,Education
festival,Arts & Entertainment
entertainment_law,Arts & Entertainment
financial_advising,Professional Services
car_rental_agency,Automotive
hearing_aids,Other Services
physician_assistant,Healthcare & Medical
public_health_clinic,Food & Dining
inspection_services,Automotive
nudist_clubs,Other Services
lighting_fixture_manufacturers,Manufacturing & Industrial
geneticist,Healthcare & Medical
custom_t_shirt_store,Retail & Shopping
scooter_rental,Other Services
basque_restaurant,Food & Dining
eyebrow_service,Beauty & Wellness
film_festivals_and_organizations,Arts & Entertainment
bags_luggage_company,Other Services
photographer,Professional Services
flight_school,Education
truck_dealer,Automotive
fountain,Tourism & Attractions
hair_supply_stores,Retail & Shopping
retina_specialist,Healthcare & Medical
glass_manufacturer,Manufacturing & Industrial
cricket_ground,Sports & Recreation
challenge_courses_center,Other Services
denim_wear_store,Retail & Shopping
bike_repair_maintenance,Automotive
uniform_store,Retail & Shopping
medical_supply,Healthcare & Medical
musical_instrument_store,Retail & Shopping
southern_restaurant,Food & Dining
mountain,Parks & Natural Features
oil_and_gas_field_equipment_and_services,Manufacturing & Industrial
amateur_sports_league,Sports & Recreation
junk_removal_and_hauling,Home & Garden Services
dui_law,Professional Services
kiteboarding,Sports & Recreation
internal_medicine,Healthcare & Medical
credit_and_debt_counseling,Technology & IT
psychologist,Healthcare & Medical
mobile_home_repair,Automotive
computer_museum,Arts & Entertainment
trucks_and_industrial_vehicles,Automotive
package_locker,Other Services
hair_removal,Beauty & Wellness
planetarium,Arts & Entertainment
surfboard_rental,Sports & Recreation
pop_up_restaurant,Food & Dining
public_and_government_association,Food & Dining
amusement_park,Arts & Entertainment
cottage,Accommodation & Lodging
publicity_service,Food & Dining
agriculture,Agriculture & Farming
automotive_services_and_repair,Automotive
bike_sharing,Other Services
gun_and_ammo,Retail & Shopping
soul_food,Food & Dining
aluminum_supplier,Business-to-Business
speech_training,Education
traditional_clothing,Retail & Shopping
restaurant_wholesale,Food & Dining
food_tours,Food & Dining
traditional_chinese_medicine,Healthcare & Medical
uruguayan_restaurant,Food & Dining
kiteboarding_instruction,Sports & Recreation
truck_repair,Automotive
sewing_and_alterations,Personal Services
ceiling_service,Other Services
dive_shop,Retail & Shopping
clock_repair_service,Automotive
farm_insurance,Financial Services
orchards_production,Arts & Entertainment
nursing_school,Healthcare & Medical
public_restrooms,Food & Dining
live_and_raw_food_restaurant,Food & Dining
music_and_dvd_store,Retail & Shopping
nature_reserve,Parks & Natural Features
skin_care,Beauty & Wellness
stone_and_masonry,Construction & Contractors
halfway_house,Other Services
sandblasting_service,Other Services
b2b_autos_and_vehicles,Automotive
scottish_restaurant,Food & Dining
arts_and_crafts,Other Services
arts_and_entertainment,Arts & Entertainment
cleaning_products_supplier,Home & Garden Services
low_income_housing,Accommodation & Lodging
cabinet_sales_service,Accommodation & Lodging
luggage_store,Retail & Shopping
national_park,Parks & Natural Features
hair_loss_center,Beauty & Wellness
stone_supplier,Business-to-Business
health_retreats,Healthcare & Medical
atms,Financial Services
commercial_real_estate,Real Estate
real_estate_investment,Financial Services
cleaning_services,Home & Garden Services
awning_supplier,Business-to-Business
mexican_grocery_store,Retail & Shopping
crisis_intervention_services,Community & Social Services
airport_lounge,Food & Dining
embroidery_and_crochet,Other Services
fire_and_water_damage_restoration,Automotive
auto_security,Automotive
filipino_restaurant,Food & Dining
betting_center,Other Services
tennis_court,Sports & Recreation
beverage_supplier,Business-to-Business
batting_cage,Sports & Recreation
government_services,Government & Public Services
business_consulting,Professional Services
saw_mill,Manufacturing & Industrial
fraternal_organization,Community & Social Services
valet_service,Personal Services
esthetician,Beauty & Wellness
taco_restaurant,Food & Dining
insurance_agency,Financial Services
gym,Beauty & Wellness
media_news_company,Media & Communications
occupational_therapy,Healthcare & Medical
motorcycle_gear,Automotive
olive_oil,Other Services
optical_wholesaler,Retail & Shopping
dietitian,Beauty & Wellness
videographer,Professional Services
speech_therapist,Healthcare & Medical
skate_shop,Retail & Shopping
molecular_gastronomy_restaurant,Food & Dining
web_designer,Professional Services
advertising_agency,Professional Services
toy_store,Retail & Shopping
quay,Other Services
veterinarian,Healthcare & Medical
lebanese_restaurant,Food & Dining
pressure_washing,Home & Garden Services
juvenile_detention_center,Government & Public Services
plasterer,Other Services
canadian_restaurant,Food & Dining
balloon_ports,Transportation
wholesale_grocer,Other Services
sleep_specialist,Other Services
bookmakers,Other Services
tobacco_shop,Retail & Shopping
salvadoran_restaurant,Food & Dining
grain_elevators,Agriculture & Farming
volunteer_association,Community & Social Services
employment_agencies,Professional Services
allergist,Healthcare & Medical
counseling_and_mental_health,Healthcare & Medical
day_spa,Beauty & Wellness
beauty_product_supplier,Business-to-Business
train_station,Transportation
business_to_business,Other Services
psychic,Religious & Spiritual
fishmonger,Other Services
b2b_science_and_technology,Business-to-Business
vegan_restaurant,Food & Dining
artificial_turf,Other Services
community_museum,Arts & Entertainment
commissioned_artist,Arts & Entertainment
jet_skis_rental,Other Services
personal_shopper,Retail & Shopping
climbing_class,Sports & Recreation
liquor_store,Retail & Shopping
bookkeeper,Professional Services
diy_auto_shop,Retail & Shopping
houseboat,Accommodation & Lodging
stadium_arena,Sports & Recreation
boat_builder,Construction & Contractors
countertop_installation,Other Services
jewelry_store,Retail & Shopping
wedding_planning,Event Services
musician,Other Services
immigration_assistance_services,Other Services
shoe_store,Retail & Shopping
graphic_designer,Professional Services
international_grocery_store,Retail & Shopping
educational_camp,Education
forestry_service,Parks & Natural Features
kosher_restaurant,Food & Dining
trinidadian_restaurant,Food & Dining
pretzels,Food & Dining
party_bus_rental,Event Services
abrasives_supplier,Business-to-Business
chiropractor,Healthcare & Medical
homeowner_association,Community & Social Services
hot_dog_restaurant,Food & Dining
bocce_ball_court,Sports & Recreation
paving_contractor,Construction & Contractors
gold_buyer,Other Services
appliance_manufacturer,Manufacturing & Industrial
jamaican_restaurant,Food & Dining
blow_dry_blow_out_service,Beauty & Wellness
manufacturers_agents_and_representatives,Manufacturing & Industrial
inn,Accommodation & Lodging
motor_freight_trucking,Other Services
b2b_farms,Agriculture & Farming
donuts,Food & Dining
piano_store,Retail & Shopping
video_film_production,Arts & Entertainment
football_club,Sports & Recreation
hobby_shop,Retail & Shopping
poultry_farm,Agriculture & Farming
car_stereo_installation,Automotive
town_hall,Government & Public Services
energy_company,Utilities & Infrastructure
promotional_products_and_services,Other Services
street_art,Other Services
mobile_home_park,Parks & Natural Features
tattoo_and_piercing,Beauty & Wellness
historical_tours,Tourism & Attractions
sikh_temple,Religious & Spiritual
wine_tours,Tourism & Attractions
recording_and_rehearsal_studio,Arts & Entertainment
kitchen_and_bath,Other Services
criminal_defense_law,Professional Services
piercing,Beauty & Wellness
stock_and_bond_brokers,Financial Services
endocrinologist,Healthcare & Medical
natural_gas_supplier,Business-to-Business
herbal_shop,Retail & Shopping
human_resource_services,Professional Services
dental_supply_store,Healthcare & Medical
farm_equipment_repair_service,Automotive
pie_shop,Food & Dining
display_home_center,Other Services
auto_detailing,Automotive
pathologist,Healthcare & Medical
rodeo,Arts & Entertainment
frozen_yoghurt_shop,Food & Dining
used_vintage_and_consignment,Retail & Shopping
pediatrician,Healthcare & Medical
quarries,Other Services
hearing_aid_provider,Other Services
car_auction,Automotive
design_museum,Arts & Entertainment
animal_rescue_service,Pet Services
pilates_studio,Beauty & Wellness
health_department,Healthcare & Medical
newspaper_and_magazines_store,Retail & Shopping
mexican_restaurant,Food & Dining
venue_and_event_space,Beauty & Wellness
skylight_installation,Other Services
bridal_shop,Retail & Shopping
golf_club,Sports & Recreation
tower_communication_service,Other Services
gents_tailor,Personal Services
corporate_office,Other Services
armed_forces_branch,Government & Public Services
rv_storage_facility,Other Services
railway_service,Transportation
poutinerie_restaurant,Food & Dining
asian_restaurant,Food & Dining
honey_farm_shop,Retail & Shopping
smokehouse,Other Services
boat_dealer,Automotive
mobile_phone_store,Retail & Shopping
oral_surgeon,Healthcare & Medical
atv_recreation_park,Parks & Natural Features
b2b_dairies,Business-to-Business
massage,Beauty & Wellness
health_food_restaurant,Food & Dining
masonry_contractors,Construction & Contractors
paddleboard_rental,Sports & Recreation
lawn_service,Professional Services
archaeological_services,Other Services
leather_products_manufacturer,Manufacturing & Industrial
it_service_and_computer_repair,Automotive
boutique,Retail & Shopping
rheumatologist,Healthcare & Medical
industrial_company,Manufacturing & Industrial
golf_equipment,Other Services
firework_retailer,Retail & Shopping
tea_wholesaler,Other Services
surgeon,Healthcare & Medical
courier_and_delivery_services,Other Services
business_law,Professional Services
palace,Tourism & Attractions
tableware_supplier,Business-to-Business
business_advertising,Professional Services
bowling_alley,Sports & Recreation
guitar_store,Retail & Shopping
ultrasound_imaging_center,Other Services
truck_dealer_for_businesses,Automotive
specialty_grocery_store,Retail & Shopping
sports_school,Sports & Recreation
mills,Manufacturing & Industrial
pakistani_restaurant,Food & Dining
wine_bar,Food & Dining
theme_restaurant,Food & Dining
educational_research_institute,Education
cemeteries,Other Services
polish_restaurant,Food & Dining
dairy_farm,Agriculture & Farming
tax_law,Professional Services
indian_grocery_store,Retail & Shopping
